,title,link
0,"비트코인 10만달러 시대…""비트코인 가격 추가 상승할 것""-메리츠",http://v.daum.net/v/20241211084759570
1,‘초미의 관심’ MS의 비트코인 투자 여부…주주들은 “반대” 이유는,http://v.daum.net/v/20241211091115348
2,"비트코인 조정 구간 돌입…MS 주주들, 비트코인 매입 반대[코인브리핑]",http://v.daum.net/v/20241211110145033
3,"비트코인, 조정 이어져…1억3800만원대",http://v.daum.net/v/20241211093550195
4,"숨고르기 들어간 비트코인…부탄 정부, 비트코인 매도 시작[코인브리핑]",http://v.daum.net/v/20241210110343588
5,'트럼프 효과 다했나' 가상화폐 급락…비트코인 9만5천달러 하회,http://v.daum.net/v/20241211035608411
6,"""800만 코인러 환호"" 가상자산 과세 2년 유예… 비트코인 2억원 가나",http://v.daum.net/v/20241211054405308
7,마이크로소프트 주주들 비트코인 투자에 반대,http://v.daum.net/v/20241211064322197
8,20만달러 가능?…비트코인 10만 달러 재돌파,http://v.daum.net/v/20241209130203846
9,비트코인 전략 제안 거부한 마이크로소프트…주주 선택은 '안정',http://v.daum.net/v/20241211085553764
10,"""미국만 코인 보유하나""…중러도 '비트코인 비축' 카드 만지작",http://v.daum.net/v/20241210194912818
11,"[블룸버그 칼럼]美 비트코인 비축, 나쁜 결과 가져올 것",http://v.daum.net/v/20241210095949338
12,[김대호 박사의 오늘의 키워드] 양자컴퓨팅·비트코인 빨간불·화웨이 금지법·트럼프 당근,http://v.daum.net/v/20241211071025706
13,"[코인뉴스] ""죄다 파란불이네""...비트코인 조정 국면에 알트코인도 일제히 하락",http://v.daum.net/v/20241211105754759
14,"비트코인, 1억3600만원선까지 ‘폭락’…고점대비 10%↓",http://v.daum.net/v/20241211110153040
15,‘트럼프 효과’...美 비트코인 ETF에 100억불 유입,http://v.daum.net/v/20241209161507983
16,"마이크로스트래티지, 비트코인 2만1,550개 추가 매입…""21억 달러 규모""",http://v.daum.net/v/20241210104806727
17,"알트코인, 한때 20% 이상 폭락… 비트코인도 다시 10만 달러 밑으로",http://v.daum.net/v/20241210084214520
18,유재석 “비트코인! 비트코인!” 2011년 아닌 올초라도 말 들었어야 했나…‘$10만’ 안착 가능? [투자360],http://v.daum.net/v/20241207060020551
19,"'꿈의 10만달러' 찍은 비트코인…""내년 20만달러 간다""",http://v.daum.net/v/20241209173805996
20,"비트코인 갑론을박...""20만달러 vs 단기조정""",http://v.daum.net/v/20241206103251287
21,"비트코인, 채굴자 매도세에도 1억4100만원대 회복",http://v.daum.net/v/20241209094130683
22,"'비트코인 빚투' 마이크로스트래티지, 또 샀다…고점 우려에도 3조원어치 추가 매입",http://v.daum.net/v/20241210044203347
23,비트코인 급락세는 끊어…리플은 5% 급등 반전(상보),http://v.daum.net/v/20241211071817865
24,10만달러 돌파→재돌파…'트럼프 효과'에 고래도 춤췄다[비트코인 지금],http://v.daum.net/v/20241209004217086
25,"'10만 달러' 넘어선 비트코인...""고점 아직""vs""과열""",http://v.daum.net/v/20241206135550190
26,"세상에 나온 지 '15년'...비트코인, 10만 달러 시대 열었다",http://v.daum.net/v/20241208072202024
27,"'10만 달러' 넘은 비트코인, 어디까지 갈까 [글로벌 뉴스픽]",http://v.daum.net/v/20241206062101852
28,"비트코인, 다시 10만 달러 붕괴…향후 전망은?",http://v.daum.net/v/20241206090709632
29,"[글로벌 비즈 브리핑] '비트코인 빚투' 마이크로스트래티지, 또 샀다 外",http://v.daum.net/v/20241210044809410
